arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1759847974.0251977,0.0,0.0,1504,0,0,0
66,1759847974.025501,0.0764,0.0,1500,0,21340,0
99,1759847974.025789,0.0769,0.0,1500,0,21336,0
132,1759847974.02613,0.0769,0.0,1500,0,21336,0
165,1759847974.0264235,0.0769,0.0,1500,0,21336,0
198,1759847974.0267146,0.0764,0.0,1500,0,21340,0
231,1759847974.0270188,0.0835,0.0,1504,0,21340,0
264,1759847974.0273101,0.0841,0.0,1504,0,21336,0
297,1759847974.0275998,0.0764,0.0,1500,0,21340,0
330,1759847974.0278883,0.0769,0.0,1500,0,21336,0
363,1759847974.028269,0.0769,0.0,1500,0,21336,0
396,1759847974.0285602,0.0764,0.0,1500,0,21340,0
429,1759847974.0288508,0.0692,0.0,1496,0,21340,0
462,1759847974.0291564,0.0774,0.0,1500,0,21332,0
495,1759847974.0294464,0.0764,0.0,1500,0,21340,0
528,1759847974.0297368,0.0769,0.0,1500,0,21336,0
561,1759847974.0300362,0.0769,0.0,1500,0,21336,0
594,1759847974.0303304,0.0769,0.0,1500,0,21336,0
627,1759847974.030619,0.0769,0.0,1500,0,21336,0
660,1759847974.0309074,0.0764,0.0,1500,0,21340,0
693,1759847974.0311968,0.0846,0.0,1504,0,21332,0
726,1759847974.0315018,0.0769,0.0,1500,0,21336,0
759,1759847974.0317914,0.0769,0.0,1500,0,21336,0
792,1759847974.0320804,0.0764,0.0,1500,0,21340,0
825,1759847974.0323837,0.0764,0.0,1500,0,21340,0
858,1759847974.0326738,0.0764,0.0,1500,0,21340,0
891,1759847974.0329635,0.0769,0.0,1500,0,21336,0
924,1759847974.0332527,0.0769,0.0,1500,0,21336,0
957,1759847974.0335565,0.0769,0.0,1500,0,21336,0
990,1759847974.0338485,0.0692,0.0,1496,0,21340,0
1024,1759847974.03416,0.0769,0.0,1500,0,21336,0
1057,1759847974.0344772,0.0769,0.0,1500,0,21336,0
1090,1759847974.0577474,0.0764,0.0,1500,0,21340,0
1123,1759847974.0907462,0.0769,0.0,1500,0,21336,0
1156,1759847974.1237648,0.0769,0.0,1500,0,21336,0
1189,1759847974.1559134,0.0769,0.0,1500,0,21336,0
1222,1759847974.1888607,0.0764,0.0,1500,0,21340,0
